Armspan_cm,Height_cm
106.0,52.5
172.0,174.0
150.0,204.30740088105728
169.0,171.0
180.0,178.0
147.0,158.0
168.0,167.0
118.0,140.0
175.0,175.0
150.0,155.0
170.0,174.0
154.0,167.5
153.8948717948718,182.0
172.0,172.0
186.0,178.0
120.0,127.0
77.0,167.6
156.0,159.0
148.0,142.0
182.6,182.8
187.5,172.0
153.8948717948718,204.30740088105728
162.0,168.0
165.0,163.5
170.0,171.0
178.0,178.0
175.0,204.30740088105728
234.0,200.0
150.0,153.0
79.0,77.0
153.8948717948718,204.30740088105728
157.0,155.4
153.8948717948718,180.3
149.0,151.0
182.0,188.0
193.0,190.0
150.0,196.0
132.0,142.0
24.0,175.0
185.0,170.0
142.0,150.0
21.0,204.30740088105728
147.5,155.0
164.0,161.0
151.0,156.0
137.0,135.0
165.0,160.0
157.0,162.0
188.0,183.0
153.8948717948718,204.30740088105728
175.2,175.2
330.0,350.0
150.0,154.0
150.5,180.0
124.0,130.0
155.0,157.0
177.0,175.0
157.0,154.9
173.0,176.0
153.8948717948718,204.30740088105728
200.0,76.0
176.0,174.0
162.0,162.0
160.0,160.2
153.8948717948718,180.0
164.0,163.0
163.0,160.0
153.8948717948718,157.0
155.0,160.0
159.0,177.0
170.0,172.0
157.0,150.0
163.0,161.0
148.0,148.0
153.8948717948718,204.30740088105728
150.0,150.0
160.0,160.0
131.0,138.0
7.0,5.0
170.0,170.0
156.0,156.0
158.0,159.0
156.0,158.0
155.0,155.0
155.0,160.0
142.2,204.30740088105728
179.0,163.0
96.0,142.0
153.8948717948718,190.0
153.8948717948718,204.30740088105728
138.0,140.0
181.0,165.0
167.5,166.0
155.0,155.0
150.0,150.0
153.8948717948718,204.30740088105728
164.0,164.0
131.0,141.0
175.0,168.0
164.0,165.0
141.0,151.0
180.0,185.0
163.0,163.0
178.0,175.0
182.0,170.0
153.8948717948718,204.30740088105728
52.0,160.0
120.0,177.0
156.0,157.0
161.0,161.0
157.0,161.0
175.0,179.0
135.0,143.0
144.0,150.0
153.8948717948718,204.30740088105728
153.8948717948718,204.30740088105728
153.8948717948718,178.0
182.0,177.0
80.0,45.0
158.0,160.0
177.0,164.0
150.0,157.0
156.0,164.0
156.0,160.0
155.0,155.7
153.8948717948718,163.0
177.0,168.0
80.0,167.0
138.0,135.0
150.0,157.0
153.8948717948718,204.30740088105728
148.0,152.0
164.6,164.6
158.0,153.0
150.0,160.0
153.8948717948718,204.30740088105728
165.0,175.0
175.0,176.0
177.0,176.0
160.0,123.0
150.0,146.0
179.0,175.0
201.0,174.0
1223.0,149.0
153.8948717948718,187.9
69.0,69.0
67.0,167.0
164.0,165.0
176.0,173.0
174.0,166.0
153.8948717948718,170.0
175.0,181.0
160.0,161.0
153.8948717948718,204.30740088105728
178.0,173.0
159.0,163.0
133.0,1.8
157.0,160.0
182.2,170.1
180.0,182.0
170.0,172.0
150.0,182.0
170.0,204.30740088105728
168.0,171.0
76.0,175.0
166.0,161.0
163.0,165.0
130.0,143.0
152.0,159.0
156.0,159.0
153.0,149.0
161.0,165.0
161.0,160.0
173.0,162.0
149.0,154.0
161.0,1.56
24.0,4.9
182.0,176.0
180.0,160.0
155.0,152.0
70.0,152.0
150.0,151.0
153.8948717948718,166.0
157.0,157.0
58.0,150.5
182.0,176.0
181.0,179.0
182.0,191.0
153.8948717948718,167.0
158.0,153.0
143.0,144.0
148.0,155.0
182.0,178.0
152.5,159.0
165.0,165.0
177.0,179.0
153.8948717948718,165.0
167.0,165.0
163.0,166.8
170.0,175.0
153.8948717948718,204.30740088105728
78.0,204.0
100.0,183.0
150.0,152.0
2.0,204.30740088105728
187.0,184.0
69.0,170.2
153.8948717948718,163.0
85.0,72.0
153.8948717948718,165.0
153.8948717948718,178.0
153.8948717948718,204.30740088105728
153.8948717948718,204.30740088105728
188.0,181.0
188.0,185.0
185.0,175.0
170.0,167.0
175.0,171.0
141.0,147.0
33.0,147.3
167.0,166.0
130.0,130.0
163.0,158.0
149.0,155.0
168.0,173.0
172.0,175.0
176.0,169.0
163.0,161.0
158.0,160.0
168.0,163.0
143.2,157.4
144.0,142.0
167.0,160.0
154.9,158.8
172.0,178.0
162.5,163.0
175.0,204.30740088105728
205.0,198.0
163.0,166.0
167.0,160.0
62.0,177.8
164.0,168.0
150.0,165.0
153.8948717948718,175.0
163.0,161.3
167.0,157.0
166.0,165.0
153.8948717948718,174.0
131.0,141.0
152.0,152.0
184.0,178.0
179.0,181.0
150.0,5.0
70.0,71.0
153.8948717948718,182.8
170.0,174.0
167.0,165.0
168.0,163.5
153.8948717948718,154.0
170.0,153.0
153.8948717948718,204.30740088105728
153.8948717948718,204.30740088105728
158.0,162.0
165.0,168.0
172.0,170.0
177.0,178.0
174.0,163.0
163.0,159.0
175.0,172.0
143.0,157.0
189.0,185.0
172.0,177.0
165.0,161.0
156.0,158.0
163.0,164.5
153.8948717948718,157.0
44.0,147.0
162.0,156.0
177.0,180.0
183.0,187.0
153.8948717948718,147.0
139.0,204.30740088105728
153.8948717948718,170.0
174.6,175.0
178.0,176.0
60.0,155.0
182.5,170.0
153.8948717948718,152.0
150.0,62.0
178.0,177.0
142.0,133.0
153.8948717948718,61.0
180.0,180.0
174.0,168.0
148.0,158.0
